event_id,event_name,address,date,start_time,guests,onsite_contact,allergies,dish_id,dish_name,category,sub_note,prep_item_id,prep_item_name,qty,location,allergy_note
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p01,Hummus,1 qt,walk-in shelf 2,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p02,Pickled veggies assorted,3 pints,walk-in shelf 2,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p03,Farmers cheese,1 qt,walk-in shelf 1,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p04,Spiced chopped pepitas,1 pint,dry storage,Nut-Free
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p05,Beets cut and cubed,50 pieces,walk-in shelf 2,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p06,Pita chips,5 packs,dry storage,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p07,Crostini,1 shallow flat,dry storage,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p08,Carrots board cut,1 qt,walk-in shelf 2,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p09,Cucumbers board cut,1 qt,walk-in shelf 2,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish01,Autumn Board,Boards,,d01-p10,Garnishes / edible flowers,as needed,,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish02,Smoked Sausage Passed,Passed Appetizers,,d07-p01,Sausages smoked,6 links,upright freezer,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish02,Smoked Sausage Passed,Passed Appetizers,,d07-p02,Brioche rounds cut,75 each,dry storage,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish02,Smoked Sausage Passed,Passed Appetizers,,d07-p03,Mustard glaze,1 pint,walk-in door,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish02,Smoked Sausage Passed,Passed Appetizers,,d07-p04,Bread & butter pickle,1 pint,walk-in door,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish03,Lobster Brûlée Passed,Passed Appetizers,FLAG for FOG shellfish allergy — do not serve to table 1,d08-p01,Brioche rounds,50 each,dry storage,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish03,Lobster Brûlée Passed,Passed Appetizers,FLAG for FOG shellfish allergy — do not serve to table 1,d08-p02,Béchamel with herb,1 qt,walk-in shelf 1,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish03,Lobster Brûlée Passed,Passed Appetizers,FLAG for FOG shellfish allergy — do not serve to table 1,d08-p03,Lobster pulled,2 lbs,walk-in shelf 1,Shellfish
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish04,House Greens Salad,Sides / Salads,,d12-p01,Greens washed and dried,2 lbs,walk-in shelf 3,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish04,House Greens Salad,Sides / Salads,,d12-p02,Cider vinaigrette,1 qt,walk-in door,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish04,House Greens Salad,Sides / Salads,,d12-p03,Carrot julienne,1 qt,walk-in shelf 3,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish04,House Greens Salad,Sides / Salads,,d12-p04,Cucumber thin sliced,1 qt,walk-in shelf 3,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish04,House Greens Salad,Sides / Salads,,d12-p05,Radish mandoline julienne,1 qt,walk-in shelf 3,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish05,Eggplant Mangal,Entrees,Vegetarian main — label clearly,d22-p01,Eggplant large dice,15 lbs raw,upright freezer,Vegan
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish05,Eggplant Mangal,Entrees,Vegetarian main — label clearly,d22-p02,Eggplant peppers roasted,2 qt,upright freezer,Vegan
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish05,Eggplant Mangal,Entrees,Vegetarian main — label clearly,d22-p03,Chickpea mash,1 can batch,walk-in shelf 1,Vegan
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish06,Short Ribs,Entrees,,d21-p01,Short ribs braised,20 lbs,upright freezer bottom,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish06,Short Ribs,Entrees,,d21-p02,Agrodolce sauce,2 qt,upright freezer bottom,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish06,Short Ribs,Entrees,,d21-p03,Carrot julienne,1 qt,walk-in shelf 2,
ev01,Mike & Michelle @ SPC,SPC Venue 400 N Main St,2025-10-13,17:00,28,Michelle — 214-555-0192,Pescatarian bride. Lots of vegetarians. Father of groom: fish and shellfish allergy — keep completely separate.,ev01-dish06,Short Ribs,Entrees,,d21-p04,Fennel julienne,1 qt,walk-in shelf 2,
